radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
172.752707,0.267,9.619864,0.176,8.018,0.012,3,8.655,0.03,3,NA,NA,0,8.306,0.063,3,7.819,0.029,3,7.745,0.035,3,7.662,0.029,3,NA,NA,0
172.759361,0.165,9.557895,0.12,NA,NA,0,NA,NA,0,NA,NA,0,18.814,0.314,1,NA,NA,0,16.478,0.255,1,NA,NA,0,NA,NA,0
172.759986,0.598,9.065634,0.325,17.001,0.125,1,18.155,0.234,1,NA,NA,0,17.811,0.108,4,16.625,0.074,4,16.086,0.196,4,NA,NA,0,NA,NA,0
172.764093,0.237,9.328077,0.219,15.669,0.044,4,16.62,0.06,4,NA,NA,0,16.097,0.04,4,15.346,0.032,4,15.065,0.056,4,NA,NA,0,NA,NA,0
172.770541,0.372,9.556756,0.296,15.766,0.011,4,17.025,0.099,4,NA,NA,0,16.454,0.066,4,15.186,0.077,4,14.713,0.089,4,NA,NA,0,NA,NA,0
172.771856,0.378,9.338814,0.36,16.921,0.035,3,17.59,0.149,3,NA,NA,0,17.222,0.078,4,16.891,0.172,4,NA,NA,0,NA,NA,0,NA,NA,0
172.775478,0.756,9.472706,0.629,NA,NA,0,NA,NA,0,NA,NA,0,18.361,0.102,2,17.251,0.176,3,16.507,0.077,2,NA,NA,0,NA,NA,0
172.775953,0.227,9.380589,0.187,14.646,0.014,4,15.41,0.069,4,NA,NA,0,14.962,0.025,4,14.446,0.032,4,14.297,0.083,4,NA,NA,0,NA,NA,0
172.776952,0.196,9.255469,0.117,12.41,0.006,4,13.401,0.081,4,NA,NA,0,12.875,0.034,4,12.081,0.037,4,11.821,0.045,4,11.857,0.022,2,NA,NA,0
172.778025,0.702,9.763706,0.343,17.236,0.166,1,17.891,0.191,1,NA,NA,0,18.076,0.146,1,16.886,0.126,1,NA,NA,0,NA,NA,0,NA,NA,0
172.778305,0.569,9.201026,0.823,NA,NA,0,NA,NA,0,NA,NA,0,18.092,0.203,3,16.818,0.224,3,15.785,0.044,3,NA,NA,0,NA,NA,0
172.77946,0.477,9.745706,0.227,NA,NA,0,NA,NA,0,NA,NA,0,18.306,0.255,1,16.896,0.154,1,16.233,0.229,1,NA,NA,0,NA,NA,0
172.784202,0.493,9.58665,0.311,16.242,0.031,4,16.969,0.109,4,NA,NA,0,16.56,0.069,4,16.144,0.079,4,15.871,0.027,4,NA,NA,0,NA,NA,0
172.78438,0.632,9.761,0.481,NA,NA,0,NA,NA,0,NA,NA,0,18.182,0.23,4,17.236,0.146,4,NA,NA,0,NA,NA,0,NA,NA,0
172.787931,0.301,9.757733,0.351,15.278,0.054,5,16.246,0.119,5,NA,NA,0,15.751,0.056,5,14.881,0.032,5,14.568,0.047,5,NA,NA,0,NA,NA,0
172.78827,0.119,9.189301,0.092,10.366,0.013,6,11.564,0.077,4,NA,NA,0,10.912,0.038,5,10.029,0.047,6,9.656,0.019,2,9.523,0.063,2,NA,NA,0
172.791558,0.183,9.644742,0.513,12.576,0.039,5,13.225,0.107,5,NA,NA,0,12.85,0.05,5,12.409,0.044,5,12.3,0.034,5,12.38,0.011,3,NA,NA,0
172.791835,0.428,9.640944,0.23,14.471,0.055,4,15.499,0.042,4,NA,NA,0,15.021,0.052,5,14.156,0.047,5,13.83,0.043,5,NA,NA,0,NA,NA,0
172.792902,0.37,9.482628,0.423,13.595,0.014,5,14.357,0.064,5,NA,NA,0,13.933,0.044,4,13.4,0.035,4,13.247,0.058,4,13.499,0.204,2,NA,NA,0
172.79657,0.274,9.309486,0.125,NA,NA,0,NA,NA,0,NA,NA,0,18.196,0.165,1,17.757,0.252,1,NA,NA,0,NA,NA,0,NA,NA,0
172.798105,0.399,9.389059,0.442,14.049,0.024,4,15.065,0.109,4,NA,NA,0,14.541,0.076,4,13.742,0.046,4,13.473,0.047,4,13.453,0.156,1,NA,NA,0
172.799734,0.503,9.082594,0.444,17.335,0.112,3,17.859,0.099,3,NA,NA,0,17.656,0.039,3,17.152,0.178,3,NA,NA,0,NA,NA,0,NA,NA,0
172.802254,0.292,9.483164,0.404,15.599,0.021,4,16.986,0.193,4,NA,NA,0,16.276,0.033,4,15.005,0.041,4,14.421,0.051,4,NA,NA,0,NA,NA,0
172.802887,1.215,8.969261,0.829,NA,NA,0,NA,NA,0,NA,NA,0,18.045,0.146,1,17.627,0.231,1,NA,NA,0,NA,NA,0,NA,NA,0
172.809154,0.281,8.976836,0.297,NA,NA,0,NA,NA,0,NA,NA,0,18.48,0.189,1,17.587,0.211,1,NA,NA,0,NA,NA,0,NA,NA,0
172.809704,0.44,9.538606,0.321,14.43,0.02,4,14.441,0.09,4,NA,NA,0,14.345,0.028,4,14.511,0.032,4,14.642,0.067,4,NA,NA,0,NA,NA,0
172.810659,0.303,9.648956,0.316,15.441,0.06,5,16.492,0.097,5,NA,NA,0,15.992,0.042,5,15.081,0.048,5,14.767,0.05,5,NA,NA,0,NA,NA,0
