radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
256.456672,0.063,29.872706,0.078,13.23,0.003,2,13.839,0.017,2,NA,NA,0,13.443,0.022,2,13.084,0.029,2,12.849,0.027,2,NA,NA,0,NA,NA,0
256.457497,0.266,30.477494,0.155,15.31,0.017,2,16.139,0.046,2,NA,NA,0,15.646,0.012,2,15.005,0.019,2,14.707,0.027,2,NA,NA,0,NA,NA,0
256.458326,0.381,30.047609,0.249,NA,NA,0,NA,NA,0,NA,NA,0,18.424,0.181,1,17.081,0.146,1,16.196,0.173,1,NA,NA,0,NA,NA,0
256.458421,0.172,29.934743,0.079,15.488,0.038,2,16.321,0.05,2,NA,NA,0,15.819,0.02,2,15.337,0.052,2,15.061,0.016,2,NA,NA,0,NA,NA,0
256.458454,0.096,30.062438,0.088,NA,NA,0,NA,NA,0,NA,NA,0,18.414,0.175,1,17.448,0.184,1,NA,NA,0,NA,NA,0,NA,NA,0
256.459392,0.276,30.283444,0.2,16.092,0.017,2,16.872,0.066,2,NA,NA,0,16.43,0.005,2,15.943,0.11,2,15.699,0.044,2,NA,NA,0,NA,NA,0
256.459448,0.358,30.103051,0.181,NA,NA,0,NA,NA,0,NA,NA,0,18.266,0.158,1,17.281,0.167,1,16.309,0.202,1,NA,NA,0,NA,NA,0
256.459879,0.701,30.335805,0.123,17.832,0.26,1,18.33,0.286,1,NA,NA,0,17.516,0.077,1,17.323,0.156,1,NA,NA,0,NA,NA,0,NA,NA,0
256.460023,0.54,30.305231,0.296,16.67,0.027,2,17.233,0.155,2,NA,NA,0,17.03,0.007,2,16.524,0.022,2,16.217,0.341,2,NA,NA,0,NA,NA,0
256.460682,0.116,29.946658,0.082,14.588,0.018,2,15.34,0.028,2,NA,NA,0,14.883,0.021,2,14.372,0.017,2,14.105,0.037,2,NA,NA,0,NA,NA,0
256.461579,0.284,29.955473,0.192,16.515,0.071,2,17.296,0.09,2,NA,NA,0,16.777,0.012,2,16.399,0.112,2,16.163,0.162,1,NA,NA,0,NA,NA,0
256.461706,0.07,30.341651,0.081,13.679,0.026,2,14.531,0,2,NA,NA,0,14.028,0.02,2,13.453,0.047,2,13.196,0.037,2,NA,NA,0,NA,NA,0
256.461929,0.211,30.155035,0.11,14.888,0.025,2,15.498,0.014,2,NA,NA,0,15.094,0.007,2,14.723,0.011,2,14.5,0.057,2,NA,NA,0,NA,NA,0
256.462727,0.148,30.057678,0.421,17.581,0.205,1,18.494,0.322,1,NA,NA,0,17.838,0.108,1,17.462,0.184,1,NA,NA,0,NA,NA,0,NA,NA,0
256.462965,0.098,30.240256,0.074,14.58,0.025,2,15.146,0.026,2,NA,NA,0,14.772,0.015,2,14.455,0.044,2,14.234,0.022,2,NA,NA,0,NA,NA,0
256.463451,0.124,30.575056,0.112,NA,NA,0,NA,NA,0,NA,NA,0,17.842,0.105,1,17.307,0.161,1,NA,NA,0,NA,NA,0,NA,NA,0
256.463734,0.238,30.52319,0.323,16.498,0.046,2,17.282,0.012,2,NA,NA,0,16.688,0.008,2,16.275,0.012,2,16.14,0.008,2,NA,NA,0,NA,NA,0
256.463957,0.201,30.386367,0.371,17.404,0.169,1,17.65,0.153,1,NA,NA,0,17.655,0.093,1,17.195,0.142,1,NA,NA,0,NA,NA,0,NA,NA,0
256.464566,0.083,29.913663,0.183,14.776,0.051,2,15.257,0.04,2,NA,NA,0,14.945,0.024,2,14.63,0.037,2,14.517,0.026,2,NA,NA,0,NA,NA,0
256.466736,0.105,30.467471,0.211,NA,NA,0,NA,NA,0,NA,NA,0,17.571,0.086,1,17.172,0.148,1,NA,NA,0,NA,NA,0,NA,NA,0
256.466962,0.252,30.038308,0.452,17.352,0.164,1,17.82,0.174,1,NA,NA,0,17.438,0.061,2,16.943,0.217,2,16.396,0.189,1,NA,NA,0,NA,NA,0
256.469103,0.177,30.029861,0.12,15.882,0.084,2,16.521,0.003,2,NA,NA,0,16.127,0.025,2,15.691,0.064,2,15.429,0.043,2,NA,NA,0,NA,NA,0
256.469407,0.154,30.208819,0.214,15.716,0.052,2,16.654,0.085,2,NA,NA,0,16.055,0.01,2,15.426,0.036,2,15.297,0.005,2,NA,NA,0,NA,NA,0
256.469636,0.158,30.135269,0.158,15.961,0.072,2,16.745,0.004,2,NA,NA,0,16.232,0.009,2,15.819,0.02,2,15.468,0.221,2,NA,NA,0,NA,NA,0
256.470003,0.186,29.885612,0.189,NA,NA,0,NA,NA,0,NA,NA,0,17.682,0.141,1,17.037,0.163,1,NA,NA,0,NA,NA,0,NA,NA,0
